Country or Area, Total: metric tons, "Per 1, 000 inhabitants: kilograms, 1970, 1975, 1980, 1985, 1989, 1970, 1975, 1980, 1985, 1989
Bulgaria, "35, 400", "49, 000", "46, 200", "42, 300", "37, 200", "4, 170", "5, 618", "5, 214", "4, 721", "4, 137"
Czechoslovakia, "49, 700", "68, 000", "72, 000", "74, 500", "79, 700", "3, 467", "4, 594", "4, 702", "4, 806", "5, 106"
Denmark, "149, 000", "125, 300", "152, 600", "187, 800", "218, 800", "30, 229", "24, 763", "29, 793", "36, 665", "42, 568"
Finland, "118, 900", "215, 800", "137, 100", "167, 600", "219, 000", "25, 814", "45, 798", "28, 688", "34, 197", "44, 189"
France, "605, 500", "402, 000", "628, 800", "568, 300", "757, 000", "11, 926", "7, 628", "11, 670", "10, 301", "13, 554"
"Germany,  F. R. Germany,  former German D. R.", "1, 055", "1, 077", "1, 394", "1, 406", "1, 696", "17, 397", "17, 414", "22, 642", "23, 040", "27, 704"
0, "117, 300", "140, 200", "141, 300", "156, 500", "128, 200", "6, 873", "8, 320", "8, 442", "9, 403", "7, 865"
Greece, "31, 600", "47, 900", "41, 100", "79, 000", "87, 400", "3, 594", "5, 295", "4, 263", "7, 952", "8, 718"
Hungary, "53, 600", "56, 300", "61, 000", "67, 500", "67, 000", "5, 177", "5, 341", "5, 695", "6, 339", "6, 348"
Iceland, "3, 100", "3, 000", "4, 000", "5, 800", "4, 800", "15, 196", "13, 761", "17, 544", "24, 066", "19, 124"
Ireland, "54, 200", "56, 700", "60, 600", "51, 000", "62, 000", "18, 348", "17, 686", "17, 818", "14, 358", "16, 802"
Italy, "282, 300", "244, 900", "327, 700", "382, 000", "610, 000", "5, 245", "4, 417", "5, 807", "6, 687", "10, 683"
Malta, 300, 200, 700, "1, 500", "1, 200", 920, 615, "1, 928", "4, 360", "3, 419"
Netherlands, "378, 700", "359, 700", "457, 800", "384, 200", "517, 600", "29, 057", "26, 321", "32, 351", "26, 526", "34, 855"
Norway, "78, 400", "54, 500", "66, 200", "115, 700", "160, 200", "20, 217", "13, 601", "16, 206", "27, 859", "38, 152"
Poland, "87, 900", "121, 000", "127, 000", "135, 400", "38, 900", "2, 702", "3, 556", "3, 570", "3, 639", "1, 022"
Portugal, "44, 000", "27, 400", "41, 000", "40, 300", "65, 000", "4, 865", "3, 013", "4, 198", "3, 968", "6, 327"
Romania, "51, 700", "44, 100", "56, 000", "60, 000", "78, 000", "2, 539", "2, 076", "2, 522", "2, 640", "3, 375"
Spain, "193, 800", "203, 900", "162, 400", "263, 100", "288, 800", "5, 737", "5, 728", "4, 326", "6, 816", "7, 386"
Sweden, "343, 400", "292, 200", "295, 600", "242, 300", "324, 200", "42, 701", "35, 665", "35, 567", "29, 018", "38, 517"
Switzerland, "167, 500", "140, 800", "207, 000", "247, 000", "299, 000", "26, 732", "21, 979", "32, 717", "38, 176", "45, 448"
United Kingdom, "1, 544", "1, 257", "1, 381", "1, 561", "2, 054", "27, 757", "22, 358", "24, 518", "27, 571", "35, 972"
Yugoslavia, "88, 500", "85, 100", "30, 000", "30, 600", "29, 700", "4, 344", "3, 986", "1, 345", "1, 324", "1, 257"
Australia, "448, 500", "520, 300", "556, 600", "651, 600", "650, 000", "35, 734", "38, 179", "37, 874", "41, 350", "39, 074"
Fiji, 800, 900, "1, 700", "2, 000", "1, 900", "1, 538", "1, 560", "2, 703", "2, 894", "2, 530"
French Polynesia, 400, 300, 100, "1, 100", "1, 100", "3, 670", "2, 256", 676, "6, 748", "5, 556"
New Caledonia, 0, "1, 100", "1, 300", 300, "1, 100", 0, "8, 271", "9, 353", "1, 961", "6, 707"
New Zealand, "95, 800", "114, 900", "78, 100", "132, 100", "139, 300", "33, 984", "37, 209", "25, 096", "40, 684", "41, 409"
Papua New Guinea, 600, 500, 0, 0, 0, 248, 185, 0, 0, 0
former USSR, 928, "1, 139", "1, 064", "1, 204", "1, 204", "3, 820", "4, 468", "4, 007", "4, 347", "4, 338"
